graph, vertices, edges, cut-size, time in ms
data/rudy/g05_100.0, 100, 2475, 1732, 0
data/rudy/g05_100.1, 100, 2475, 1731, 0
data/rudy/g05_100.2, 100, 2475, 1687, 0
data/rudy/g05_100.3, 100, 2475, 1631, 0
data/rudy/g05_100.4, 100, 2475, 1723, 0
data/rudy/g05_100.5, 100, 2475, 1730, 1
data/rudy/g05_100.6, 100, 2475, 1714, 0
data/rudy/g05_100.7, 100, 2475, 1713, 0
data/rudy/g05_100.8, 100, 2475, 1699, 0
data/rudy/g05_100.9, 100, 2475, 1698, 0
data/rudy/g05_60.0, 60, 885, 610, 0
data/rudy/g05_60.1, 60, 885, 597, 0
data/rudy/g05_60.2, 60, 885, 594, 0
data/rudy/g05_60.3, 60, 885, 595, 0
data/rudy/g05_60.4, 60, 885, 607, 0
data/rudy/g05_60.5, 60, 885, 623, 0
data/rudy/g05_60.6, 60, 885, 604, 0
data/rudy/g05_60.7, 60, 885, 599, 0
data/rudy/g05_60.8, 60, 885, 596, 0
data/rudy/g05_60.9, 60, 885, 605, 0
data/rudy/g05_80.0, 80, 1580, 1069, 0
data/rudy/g05_80.1, 80, 1580, 1068, 0
data/rudy/g05_80.2, 80, 1580, 1060, 0
data/rudy/g05_80.3, 80, 1580, 1087, 0
data/rudy/g05_80.4, 80, 1580, 1079, 0
data/rudy/g05_80.5, 80, 1580, 1067, 0
data/rudy/g05_80.6, 80, 1580, 1068, 0
data/rudy/g05_80.7, 80, 1580, 1100, 0
data/rudy/g05_80.8, 80, 1580, 1060, 0
data/rudy/g05_80.9, 80, 1580, 1100, 0
