graph, vertices, edges, cut-size, time in ms
data/rudy/g05_100.0, 100, 2475, 1269, 0
data/rudy/g05_100.1, 100, 2475, 1259, 0
data/rudy/g05_100.2, 100, 2475, 1224, 0
data/rudy/g05_100.3, 100, 2475, 1227, 0
data/rudy/g05_100.4, 100, 2475, 1233, 0
data/rudy/g05_100.5, 100, 2475, 1241, 0
data/rudy/g05_100.6, 100, 2475, 1218, 0
data/rudy/g05_100.7, 100, 2475, 1278, 0
data/rudy/g05_100.8, 100, 2475, 1223, 0
data/rudy/g05_100.9, 100, 2475, 1271, 0
data/rudy/g05_60.0, 60, 885, 410, 0
data/rudy/g05_60.1, 60, 885, 442, 0
data/rudy/g05_60.2, 60, 885, 445, 0
data/rudy/g05_60.3, 60, 885, 442, 0
data/rudy/g05_60.4, 60, 885, 439, 0
data/rudy/g05_60.5, 60, 885, 433, 0
data/rudy/g05_60.6, 60, 885, 460, 0
data/rudy/g05_60.7, 60, 885, 449, 0
data/rudy/g05_60.8, 60, 885, 432, 0
data/rudy/g05_60.9, 60, 885, 441, 0
data/rudy/g05_80.0, 80, 1580, 783, 0
data/rudy/g05_80.1, 80, 1580, 779, 0
data/rudy/g05_80.2, 80, 1580, 790, 0
data/rudy/g05_80.3, 80, 1580, 790, 0
data/rudy/g05_80.4, 80, 1580, 781, 0
data/rudy/g05_80.5, 80, 1580, 816, 0
data/rudy/g05_80.6, 80, 1580, 778, 0
data/rudy/g05_80.7, 80, 1580, 752, 0
data/rudy/g05_80.8, 80, 1580, 829, 0
data/rudy/g05_80.9, 80, 1580, 796, 0
