group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
approx_bench,approx basic: ,"graph: vc-exact_008.gr, vetices: 7537, edges: 72833",7537,elements,412463456.0,ns,1
approx_bench,approx basic: ,"graph: vc-exact_008.gr, vetices: 7537, edges: 72833",7537,elements,411202013.0,ns,1
approx_bench,approx basic: ,"graph: vc-exact_008.gr, vetices: 7537, edges: 72833",7537,elements,411314644.0,ns,1
approx_bench,approx basic: ,"graph: vc-exact_008.gr, vetices: 7537, edges: 72833",7537,elements,412055453.0,ns,1
approx_bench,approx basic: ,"graph: vc-exact_008.gr, vetices: 7537, edges: 72833",7537,elements,426408812.0,ns,1
approx_bench,approx basic: ,"graph: vc-exact_008.gr, vetices: 7537, edges: 72833",7537,elements,412399538.0,ns,1
approx_bench,approx basic: ,"graph: vc-exact_008.gr, vetices: 7537, edges: 72833",7537,elements,413066695.0,ns,1
approx_bench,approx basic: ,"graph: vc-exact_008.gr, vetices: 7537, edges: 72833",7537,elements,413512090.0,ns,1
approx_bench,approx basic: ,"graph: vc-exact_008.gr, vetices: 7537, edges: 72833",7537,elements,412970310.0,ns,1
approx_bench,approx basic: ,"graph: vc-exact_008.gr, vetices: 7537, edges: 72833",7537,elements,412637072.0,ns,1
