group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,26068430.0,ns,16
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,50375654.0,ns,32
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,69514708.0,ns,48
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,96838881.0,ns,64
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,120062563.0,ns,80
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,149012000.0,ns,96
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,168398241.0,ns,112
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,182540168.0,ns,128
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,208525929.0,ns,144
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,231962519.0,ns,160
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,275714556.0,ns,176
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,287322493.0,ns,192
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,305113825.0,ns,208
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,357618160.0,ns,224
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,397895084.0,ns,240
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,400043507.0,ns,256
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,456084710.0,ns,272
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,451974451.0,ns,288
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,445891592.0,ns,304
heuristic_approx_bench,approx_improved,"graph: vc-exact_001.gr, vetices: 6160, edges: 40207",46367,elements,480320756.0,ns,320
