group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,26021061.0,ns,6
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,50491670.0,ns,12
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,75902408.0,ns,18
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,100769784.0,ns,24
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,124719142.0,ns,30
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,148561394.0,ns,36
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,170179639.0,ns,42
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,190990921.0,ns,48
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,216756891.0,ns,54
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,250930804.0,ns,60
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,309858839.0,ns,66
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,319434935.0,ns,72
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,359027997.0,ns,78
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,371102280.0,ns,84
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,398014019.0,ns,90
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,417536639.0,ns,96
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,449629581.0,ns,102
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,500808476.0,ns,108
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,497956170.0,ns,114
heuristic_approx_bench,heuristic_parallel,"graph: vc-exact_120.gr, vetices: 70144, edges: 116378",186522,elements,520044955.0,ns,120
