group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heuristic_bench,Single threaded,vc-exact_193.gr,7030,elements,102220.0,ns,2
heuristic_bench,Single threaded,vc-exact_193.gr,7030,elements,100959.0,ns,2
heuristic_bench,Single threaded,vc-exact_193.gr,7030,elements,100211.0,ns,2
heuristic_bench,Single threaded,vc-exact_193.gr,7030,elements,93135.0,ns,2
heuristic_bench,Single threaded,vc-exact_193.gr,7030,elements,100930.0,ns,2
heuristic_bench,Single threaded,vc-exact_193.gr,7030,elements,106594.0,ns,2
heuristic_bench,Single threaded,vc-exact_193.gr,7030,elements,107412.0,ns,2
heuristic_bench,Single threaded,vc-exact_193.gr,7030,elements,94629.0,ns,2
heuristic_bench,Single threaded,vc-exact_193.gr,7030,elements,94838.0,ns,2
heuristic_bench,Single threaded,vc-exact_193.gr,7030,elements,98302.0,ns,2
