group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heuristic_bench,heuristic basic,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,317995020.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,317938863.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,316858992.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,316462453.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,316353240.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,316826780.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,313909667.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,322013497.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,318157411.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,316637424.0,ns,1
