group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heuristic_bench,heuristic basic,"graph: vc-exact_085.gr, vetices: 11470, edges: 17408",11470,elements,79176750.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_085.gr, vetices: 11470, edges: 17408",11470,elements,77910192.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_085.gr, vetices: 11470, edges: 17408",11470,elements,77946117.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_085.gr, vetices: 11470, edges: 17408",11470,elements,77751536.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_085.gr, vetices: 11470, edges: 17408",11470,elements,79081445.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_085.gr, vetices: 11470, edges: 17408",11470,elements,78481628.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_085.gr, vetices: 11470, edges: 17408",11470,elements,78082821.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_085.gr, vetices: 11470, edges: 17408",11470,elements,77864387.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_085.gr, vetices: 11470, edges: 17408",11470,elements,78865590.0,ns,1
heuristic_bench,heuristic basic,"graph: vc-exact_085.gr, vetices: 11470, edges: 17408",11470,elements,78184408.0,ns,1
