group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heuristic_bench,heuristic improved,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,345644991.0,ns,1
heuristic_bench,heuristic improved,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,348656021.0,ns,1
heuristic_bench,heuristic improved,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,343213143.0,ns,1
heuristic_bench,heuristic improved,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,346069828.0,ns,1
heuristic_bench,heuristic improved,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,341942261.0,ns,1
heuristic_bench,heuristic improved,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,344722820.0,ns,1
heuristic_bench,heuristic improved,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,343682626.0,ns,1
heuristic_bench,heuristic improved,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,345763013.0,ns,1
heuristic_bench,heuristic improved,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,352078333.0,ns,1
heuristic_bench,heuristic improved,"graph: vc-exact_017.gr, vetices: 23541, edges: 34233",23541,elements,343575040.0,ns,1
