group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,24609101.0,ns,2397
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,47186766.0,ns,4794
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,70379120.0,ns,7191
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,93978549.0,ns,9588
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,116785746.0,ns,11985
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,141915943.0,ns,14382
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,165015816.0,ns,16779
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,187339438.0,ns,19176
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,212557195.0,ns,21573
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,234037845.0,ns,23970
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,258236012.0,ns,26367
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,281117315.0,ns,28764
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,304131058.0,ns,31161
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,326635980.0,ns,33558
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,351851845.0,ns,35955
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,373604147.0,ns,38352
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,397067289.0,ns,40749
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,419469670.0,ns,43146
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,443057217.0,ns,45543
heuristic_bench,heuristic_basic,"graph: vc-exact_040.gr, vetices: 210, edges: 625",835,elements,466453180.0,ns,47940
