group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,23643951.0,ns,30
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,46389891.0,ns,60
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,70915453.0,ns,90
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,94968454.0,ns,120
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,117219803.0,ns,150
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,142645610.0,ns,180
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,166998599.0,ns,210
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,191057968.0,ns,240
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,208573383.0,ns,270
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,237105612.0,ns,300
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,261404570.0,ns,330
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,281975659.0,ns,360
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,310331985.0,ns,390
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,330387513.0,ns,420
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,354559670.0,ns,450
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,360972679.0,ns,480
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,350103337.0,ns,510
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,378779987.0,ns,540
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,400216678.0,ns,570
heuristic_bench,heuristic_parallel,"graph: vc-exact_094.gr, vetices: 5960, edges: 10720",16680,elements,428567957.0,ns,600
