group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,24904580.0,ns,18
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,47788404.0,ns,36
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,75234701.0,ns,54
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,98598840.0,ns,72
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,122443427.0,ns,90
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,142808188.0,ns,108
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,166725292.0,ns,126
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,191770730.0,ns,144
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,212487670.0,ns,162
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,237642531.0,ns,180
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,270851270.0,ns,198
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,292134253.0,ns,216
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,313648349.0,ns,234
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,332021092.0,ns,252
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,353846649.0,ns,270
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,385644482.0,ns,288
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,425812684.0,ns,306
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,537415436.0,ns,324
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,460363903.0,ns,342
heuristic_bench,heuristic_parallel,"graph: vc-exact_095.gr, vetices: 15783, edges: 24663",40446,elements,496416674.0,ns,360
